en;ru;definition;pronunciations
scattered;раскиданный;"occurring or found at intervals or various locations rather than all together";"ˈskatəd"
paddle;весло;"a short pole with a broad blade at one or both ends, used without a rowlock to move a small boat or canoe through the water";"ˈpad(ə)l"
